,nooffloors,NATIONAL_RISK_INDEX,FLOODING_RISK_SCORE,POPULATION,MEDIAN_HHI,MEDIAN_HV,PCT_UNINSURED,UNEMPLOYMENT_RATE,transport_warehouse_employment_pct,closest_shipping,buildingage,nra,singletenant,IS_URBAN,IS_SUBURBAN,IS_RURAL,IS_LEED_CERTIFIED,IS_ESTAR_CERTIFIED,noi_per_sqft
Property 1,1,39.17312414,18.57729327,5529213,83160,574094,0.084348709,0.073231597,0.134972085,1.179929147,12,317500,0,0,1,0,0,0,65.13358842
Property 2,1,39.31821557,21.28863645,5952054,117947,1371535,0.042402082,0.052451797,0.063492778,1.292437921,7,91541,0,0,1,0,0,0,126.7761061
Property 3,1,16.14480712,16.04965393,7506908,74202,284497,0.077295094,0.072683341,0.06796878,2.578308548,2,360391,0,0,1,0,1,0,33.39962822
Property 4,1,25.98461262,13.24571527,2444846,76701,464829,0.058947312,0.049876467,0.05750108,11.28257213,27,294912,0,1,0,0,0,0,44.06657553
Property 5,1,25.98461262,13.24571527,2445689,76699,464804,0.0589442,0.049878102,0.056754235,6.886254063,13,75200,0,1,0,0,1,0,46.76120498
Property 6,1,16.70611259,12.25368055,7256965,73957,282200,0.077425833,0.073970856,0.077308258,2.628321853,44,332067,0,0,1,0,0,0,29.28952312
Property 7,1,24.24222855,0.356425815,11157157,78504,742527,0.093344207,0.090708001,0.074421139,14.41739544,15,233600,0,1,0,0,0,0,85.44028724
Property 8,3,32.38443608,4.174518358,10816586,79562,698967,0.092442328,0.086152417,0.028181154,4.196777555,52,61087,0,1,0,0,0,0,70.42982727
Property 9,1,35.94633895,18.28672082,6747178,84543,605504,0.085500522,0.072345822,0.11300992,6.884146917,25,146118,1,0,1,0,0,0,63.13014456
Property 10,1,16.88718618,7.268456969,6516842,74799,290998,0.160272356,0.053948383,0.079650745,14.44906448,3,211542,0,0,1,0,0,0,32.55636449
Property 11,1,35.94633895,18.28672082,6277029,84213,591654,0.086239658,0.072771868,0.124172591,1.725115208,2,220170,1,0,1,0,0,0,61.24515099
Property 12,1,25.98461262,13.24571527,2445910,76700,464804,0.058945084,0.049878555,0.056846397,2.897861636,22,231879,0,1,0,0,0,0,44.58182179
Property 13,1,36.60184117,11.31416236,3138208,94304,760640,0.071091364,0.074895149,0.042747092,5.627493594,21,156720,1,0,0,1,1,0,81.44189272
Property 14,1,36.60184117,11.31416236,3111712,94495,758439,0.071060575,0.075002834,0.041960874,8.765720357,14,259230,0,0,0,1,1,0,71.05198478
Property 15,1,31.26019851,0,11480068,76997,685253,0.094172547,0.087853237,0.058589378,12.61766243,40,62680,0,0,1,0,0,0,69.74287713
Property 16,1,37.82643142,45.09275488,15335727,81602,604008,0.076402523,0.08409338,0.090754866,5.628798394,3,55700,0,0,1,0,0,0,52.43342243
Property 17,1,15.30622651,3.384013292,3050056,88594,698253,0.075113088,0.06532602,0.025188743,6.404245497,5,335651,0,0,1,0,1,0,76.94295567
Property 18,1,15.02967348,0,3131083,80572,321336,0.042371932,0.037346546,0.053197051,19.29914877,52,187000,0,0,1,0,0,0,30.05345025
Property 19,1,28.03211076,15.85116247,1512639,70253,351796,0.123356334,0.046358372,0.02416298,7.706998207,15,166366,0,0,1,0,0,0,39.55999636
Property 20,1,0,0,11703051,80059,728151,0.090668447,0.086189683,0.052734198,21.4327877,23,252000,0,0,1,0,0,0,68.34621465
Property 21,1,10.40892111,5.383959276,4228207,69846,270025,0.131541906,0.039871624,0.138615165,14.22430292,48,756690,0,1,0,0,0,0,26.98875037
Property 22,1,9.444531478,8.717306848,1565770,69898,250581,0.070126965,0.057194086,0.050343751,1.06038039,21,581750,0,0,1,0,0,0,25.76107906
Property 23,1,35.94633895,18.28672082,6672604,84446,602384,0.085651722,0.071998026,0.112783872,19.71803251,2,108450,0,0,1,0,0,0,53.76109621
Property 24,1,35.94633895,18.28672082,6211093,84053,591533,0.086340445,0.073158658,0.12098666,6.766250724,32,135250,1,0,1,0,0,0,53.69054337
Property 25,1,60.09361954,17.98522593,3661688,92404,603792,0.053700698,0.048948292,0.075513414,11.37218077,30,283990,0,0,1,0,0,0,61.96979198
Property 26,1,34.72886497,9.486489122,9126461,83963,651667,0.085470013,0.078963899,0.088321947,2.821921469,14,1116296,0,0,1,0,1,0,72.15764969
Property 27,1,13.45784177,11.02392568,4541587,62691,361795,0.144785434,0.051862413,0.054686149,5.155503475,4,423887,0,0,1,0,0,0,34.63375739
Property 28,1,39.31821557,21.28863645,5991163,118558,1420423,0.042301573,0.051858163,0.062067353,12.0287152,49,134266,0,0,1,0,0,0,128.5649465
Property 29,1,29.73101988,13.55999975,3265648,88050,692993,0.075780833,0.06444431,0.019206812,6.932717009,43,1016116,0,0,1,0,0,0,64.37594674
Property 30,1,26.41974496,21.38262168,5918601,119644,1494970,0.041465314,0.05083298,0.058703644,7.035095481,16,183207,0,0,1,0,0,0,160.3405601
Property 31,1,26.67621229,2.897377389,5351800,116313,1126288,0.040958182,0.054200741,0.062181801,3.57840015,38,227016,0,0,1,0,0,0,111.00734
Property 32,1,26.67621229,2.897377389,5346795,116287,1122062,0.04097317,0.05422779,0.06358461,4.395397939,51,170754,0,0,1,0,0,0,109.4576259
Property 33,1,0,0,3234411,84674,491779,0.070946145,0.057324664,0.078850117,7.886640254,21,145878,0,0,0,0,0,0,60.52351676
Property 34,1,0,0,3234346,84679,491800,0.070942118,0.057318535,0.078936371,19.39982842,17,602657,0,0,0,0,0,0,49.53390193
Property 35,1,37.89407667,42.29297221,5913252,71302,244879,0.178066121,0.065448607,0.044432689,2.640834512,31,121989,0,1,0,0,0,0,17.55352222
Property 36,1,37.89407667,42.29297221,5924623,71293,244912,0.178102195,0.065443005,0.043890225,37.30247524,5,94000,0,1,0,0,0,0,15.68155317
Property 37,1,8.45661903,5.613470818,4420094,67588,335419,0.105140253,0.052567712,0.044523276,4.565873804,43,63971,0,0,1,0,0,0,36.43343676
